Device Name,Group,IMEI-1,IMEI-2,Serial Number,Date (UTC),Time (UTC),Battery (%),Charging
Redmi12,yacine,"","",unknown,11-May-2024,12:00:17 AM,95,false
Redmi12,yacine,"","",unknown,11-May-2024,12:27:26 AM,95,false
Redmi12,yacine,"","",unknown,11-May-2024,12:43:54 AM,95,false
Redmi12,yacine,"","",unknown,11-May-2024,01:52:00 AM,95,false
Redmi12,yacine,"","",unknown,11-May-2024,03:52:31 AM,94,false
Redmi12,yacine,"","",unknown,11-May-2024,04:10:11 AM,94,false
Redmi12,yacine,"","",unknown,11-May-2024,07:53:04 AM,94,false
Redmi12,yacine,"","",unknown,11-May-2024,08:15:10 AM,93,false
Redmi12,yacine,"","",unknown,11-May-2024,08:30:11 AM,93,false
Redmi12,yacine,"","",unknown,11-May-2024,11:04:11 AM,93,false
Redmi12,yacine,"","",unknown,11-May-2024,11:19:11 AM,91,false
Redmi12,yacine,"","",unknown,11-May-2024,11:34:11 AM,89,false
Redmi12,yacine,"","",unknown,11-May-2024,11:49:11 AM,88,false
Redmi12,yacine,"","",unknown,11-May-2024,12:04:12 PM,86,false
Redmi12,yacine,"","",unknown,11-May-2024,12:19:12 PM,85,false
Redmi12,yacine,"","",unknown,11-May-2024,12:34:12 PM,83,false
Redmi12,yacine,"","",unknown,11-May-2024,12:49:12 PM,82,false
Redmi12,yacine,"","",unknown,11-May-2024,01:04:12 PM,82,false
Redmi12,yacine,"","",unknown,11-May-2024,01:19:12 PM,80,false
Redmi12,yacine,"","",unknown,11-May-2024,01:34:12 PM,79,false
Redmi12,yacine,"","",unknown,11-May-2024,01:49:12 PM,77,false
Redmi12,yacine,"","",unknown,11-May-2024,02:04:12 PM,76,false
Redmi12,yacine,"","",unknown,11-May-2024,02:19:12 PM,75,false
Redmi12,yacine,"","",unknown,11-May-2024,02:34:13 PM,74,false
Redmi12,yacine,"","",unknown,11-May-2024,02:49:13 PM,73,false
Redmi12,yacine,"","",unknown,11-May-2024,03:04:13 PM,72,false
Redmi12,yacine,"","",unknown,11-May-2024,03:19:13 PM,70,false
Redmi12,yacine,"","",unknown,11-May-2024,03:34:13 PM,70,false
Redmi12,yacine,"","",unknown,11-May-2024,03:49:13 PM,70,false
Redmi12,yacine,"","",unknown,11-May-2024,04:04:13 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,04:19:13 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,04:34:13 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,04:49:13 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,05:04:13 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,05:19:14 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,05:34:14 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,05:49:14 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,06:04:14 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,06:19:14 PM,69,false
Redmi12,yacine,"","",unknown,11-May-2024,06:34:14 PM,69,false
