Date (UTC),Battery (%),Charging,Time
02-May-2024,43,False,13:28:05
02-May-2024,43,False,13:29:25
02-May-2024,42,False,13:40:43
02-May-2024,41,False,13:55:43
02-May-2024,41,False,14:07:23
02-May-2024,41,False,14:07:27
02-May-2024,41,False,14:22:27
02-May-2024,41,False,14:37:27
02-May-2024,41,False,14:52:28
02-May-2024,41,False,15:07:28
02-May-2024,47,False,16:52:11
02-May-2024,47,False,17:07:11
02-May-2024,47,False,17:22:12
02-May-2024,47,False,17:37:12
02-May-2024,46,False,17:52:12
02-May-2024,46,False,18:05:31
02-May-2024,46,False,18:20:31
02-May-2024,46,False,18:35:31
02-May-2024,46,False,18:50:31
02-May-2024,46,False,19:05:31
02-May-2024,46,False,19:20:32
02-May-2024,46,False,19:35:32
02-May-2024,46,False,19:50:32
02-May-2024,46,False,20:05:32
02-May-2024,46,False,20:20:32
02-May-2024,46,False,20:35:32
02-May-2024,46,False,20:50:32
02-May-2024,45,False,21:05:32
02-May-2024,45,False,21:20:32
02-May-2024,45,False,21:35:32
02-May-2024,45,False,21:50:32
02-May-2024,45,False,22:05:32
02-May-2024,45,False,22:20:32
02-May-2024,45,False,22:35:33
02-May-2024,45,False,22:50:33
02-May-2024,45,False,23:05:33
02-May-2024,45,False,23:20:33
02-May-2024,45,False,23:35:33
02-May-2024,45,False,23:50:33
03-May-2024,45,False,00:05:33
03-May-2024,45,False,00:20:33
03-May-2024,45,False,00:35:33
03-May-2024,44,False,00:50:33
03-May-2024,44,False,01:05:33
03-May-2024,44,False,01:20:33
03-May-2024,44,False,01:35:34
03-May-2024,44,False,01:50:34
03-May-2024,44,False,02:05:34
03-May-2024,44,False,02:20:34
03-May-2024,44,False,02:35:34
03-May-2024,44,False,02:50:34
03-May-2024,44,False,03:05:34
03-May-2024,44,False,03:20:34
03-May-2024,44,False,03:35:34
03-May-2024,44,False,03:50:34
03-May-2024,44,False,04:05:34
03-May-2024,44,False,04:20:34
03-May-2024,44,False,04:35:35
03-May-2024,43,False,04:50:35
03-May-2024,43,False,05:05:35
03-May-2024,43,False,05:20:35
03-May-2024,43,False,05:35:35
03-May-2024,43,False,05:50:35
03-May-2024,43,False,06:05:35
03-May-2024,43,False,06:20:35
03-May-2024,43,False,06:35:35
03-May-2024,43,False,06:50:35
03-May-2024,43,False,07:05:35
03-May-2024,43,False,07:20:36
03-May-2024,43,False,07:35:36
03-May-2024,43,True,07:50:36
03-May-2024,100,False,08:48:36
03-May-2024,100,False,08:48:39
03-May-2024,100,False,09:03:39
03-May-2024,99,False,09:18:39
03-May-2024,99,False,09:33:40
03-May-2024,98,False,09:48:40
03-May-2024,96,False,10:03:40
03-May-2024,95,False,10:18:40
03-May-2024,94,False,10:33:40
03-May-2024,93,False,10:48:40
03-May-2024,91,False,11:03:40
03-May-2024,90,False,11:18:40
03-May-2024,89,False,11:33:40
03-May-2024,88,False,11:48:41
03-May-2024,88,False,12:03:41
03-May-2024,87,False,12:18:41
03-May-2024,86,False,12:33:41
03-May-2024,85,False,12:48:41
03-May-2024,84,False,13:03:41
03-May-2024,83,False,13:11:27
03-May-2024,83,False,13:11:33
03-May-2024,83,False,13:26:33
03-May-2024,83,False,13:41:33
03-May-2024,83,False,13:56:33
03-May-2024,83,False,14:11:33
03-May-2024,83,False,14:14:17
03-May-2024,81,False,14:29:17
03-May-2024,80,False,14:44:17
03-May-2024,79,False,14:59:17
03-May-2024,79,False,15:14:17
03-May-2024,79,False,15:29:18
03-May-2024,79,False,15:44:18
03-May-2024,78,False,15:59:18
03-May-2024,78,False,16:14:18
03-May-2024,77,False,16:29:18
03-May-2024,76,False,16:44:18
