Date (UTC),Battery (%),Charging,Time
2024-05-10,100,False,22:11:41
2024-05-10,99,False,22:26:42
2024-05-10,99,False,22:41:42
2024-05-10,97,False,22:56:42
2024-05-10,96,False,23:11:42
2024-05-10,95,False,23:26:42
2024-05-10,95,False,23:41:42
2024-05-11,95,False,00:00:17
2024-05-11,95,False,00:27:26
2024-05-11,95,False,00:43:54
2024-05-11,95,False,01:52:00
2024-05-11,94,False,03:52:31
2024-05-11,94,False,04:10:11
2024-05-11,94,False,07:53:04
2024-05-11,93,False,08:15:10
2024-05-11,93,False,08:30:11
2024-05-11,93,False,11:04:11
2024-05-11,91,False,11:19:11
2024-05-11,89,False,11:34:11
2024-05-11,88,False,11:49:11
2024-05-11,86,False,12:04:12
2024-05-11,85,False,12:19:12
2024-05-11,83,False,12:34:12
2024-05-11,82,False,12:49:12
2024-05-11,82,False,13:04:12
2024-05-11,80,False,13:19:12
2024-05-11,79,False,13:34:12
2024-05-11,77,False,13:49:12
2024-05-11,76,False,14:04:12
2024-05-11,75,False,14:19:12
2024-05-11,74,False,14:34:13
2024-05-11,73,False,14:49:13
2024-05-11,72,False,15:04:13
2024-05-11,70,False,15:19:13
2024-05-11,70,False,15:34:13
2024-05-11,70,False,15:49:13
2024-05-11,69,False,16:04:13
2024-05-11,69,False,16:19:13
2024-05-11,69,False,16:34:13
2024-05-11,69,False,16:49:13
2024-05-11,69,False,17:04:13
2024-05-11,69,False,17:19:14
2024-05-11,69,False,17:34:14
2024-05-11,69,False,17:49:14
2024-05-11,69,False,18:04:14
2024-05-11,69,False,18:19:14
2024-05-11,69,False,18:34:14
2024-05-11,69,False,18:49:14
2024-05-11,69,False,19:04:14
2024-05-11,68,False,19:19:14
2024-05-11,67,False,19:34:14
2024-05-11,66,False,19:49:14
2024-05-11,64,False,20:04:14
2024-05-11,62,False,20:19:14
2024-05-11,60,False,20:34:15
2024-05-11,58,False,20:49:15
2024-05-11,57,False,21:04:15
2024-05-11,56,False,21:19:15
2024-05-11,54,False,21:34:15
2024-05-11,52,False,21:49:15
2024-05-11,52,False,22:04:15
2024-05-11,52,False,22:19:15
2024-05-11,52,False,22:34:15
2024-05-11,52,False,22:49:15
2024-05-11,52,False,23:04:16
2024-05-11,52,False,23:19:16
2024-05-11,51,False,23:34:16
2024-05-11,50,False,23:49:16
2024-05-12,48,False,00:04:16
2024-05-12,47,False,00:19:16
2024-05-12,45,False,00:34:16
2024-05-12,44,False,00:49:16
2024-05-12,42,False,01:04:16
2024-05-12,42,False,01:19:16
2024-05-12,40,False,01:34:17
2024-05-12,38,False,01:49:17
2024-05-12,37,False,02:04:17
2024-05-12,36,False,02:09:42
2024-05-12,36,False,02:09:44
2024-05-12,36,False,02:09:46
2024-05-12,36,False,02:09:48
2024-05-12,36,False,02:09:51
2024-05-12,36,False,02:10:31
2024-05-12,36,False,02:10:33
2024-05-12,36,False,02:32:18
2024-05-12,36,False,02:48:24
2024-05-12,36,False,03:07:58
2024-05-12,36,False,03:22:59
2024-05-12,36,False,03:37:59
2024-05-12,36,False,03:52:59
2024-05-12,36,False,04:07:59
2024-05-12,36,False,04:22:59
2024-05-12,36,False,04:37:59
2024-05-12,36,False,04:52:59
2024-05-12,36,False,05:07:59
2024-05-12,36,False,05:22:59
2024-05-12,36,False,05:37:59
2024-05-12,36,False,05:52:59
2024-05-12,36,False,06:08:00
2024-05-12,36,False,06:23:00
2024-05-12,36,False,06:38:00
2024-05-12,36,False,06:53:00
2024-05-12,36,False,07:08:00
2024-05-12,36,False,07:23:00
2024-05-12,36,False,07:38:00
2024-05-12,36,False,07:53:00
2024-05-12,36,False,08:08:00
2024-05-12,36,False,08:23:00
2024-05-12,36,False,08:38:00
2024-05-12,36,False,08:53:00
2024-05-12,36,False,09:08:00
2024-05-12,36,False,09:23:00
2024-05-12,36,False,09:38:01
2024-05-12,36,False,09:53:01
2024-05-12,35,False,10:08:01
2024-05-12,35,False,10:23:01
2024-05-12,35,False,10:38:01
2024-05-12,35,False,10:53:01
2024-05-12,35,False,11:08:01
2024-05-12,35,False,11:23:01
2024-05-12,35,False,11:38:01
2024-05-12,35,False,11:53:01
2024-05-12,35,False,12:08:01
2024-05-12,34,False,12:23:02
2024-05-12,33,False,12:38:02
2024-05-12,33,False,12:53:02
2024-05-12,33,False,13:08:02
2024-05-12,33,False,13:23:02
2024-05-12,33,False,13:38:02
2024-05-12,33,False,13:53:02
2024-05-12,33,False,14:08:02
2024-05-12,33,False,14:23:02
2024-05-12,33,False,14:38:02
2024-05-12,32,False,14:53:02
2024-05-12,32,False,15:08:03
2024-05-12,32,False,15:23:03
2024-05-12,32,False,15:38:03
2024-05-12,32,False,15:53:03
2024-05-12,32,False,16:08:03
2024-05-12,32,False,16:23:03
2024-05-12,32,False,16:38:03
2024-05-12,32,False,16:53:03
2024-05-12,31,False,17:08:03
2024-05-12,31,False,17:23:04
2024-05-12,31,False,17:38:04
2024-05-12,31,False,17:53:04
2024-05-12,31,False,18:08:04
2024-05-12,31,False,18:23:04
2024-05-12,31,False,18:38:04
2024-05-12,31,False,18:53:04
2024-05-12,31,False,19:08:04
2024-05-12,31,False,19:23:04
2024-05-12,30,False,19:38:04
2024-05-12,30,False,19:53:04
